name,id,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548,RS0578,RS0584,RS0639,RS0707,RS0708,RS0730
Chrm2,ENSMUST00000172278,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Chrna2,ENSMUST00000022620,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Cldn5,ENSMUST00000043577,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Clrn1,ENSMUST00000072551,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Cntnap5b,ENSMUST00000188735,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
Cobll1,ENSMUST00000090896,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Col14a1,ENSMUST00000023053,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
Col15a1,ENSMUST00000107730,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Col24a1,ENSMUST00000029848,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Col25a1,ENSMUST00000106353,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Cplx3,ENSMUST00000045068,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Crispld2,ENSMUST00000132583,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
Cspg4,ENSMUST00000035661,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Ctss,ENSMUST00000116304,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Cux2,ENSMUST00000111752,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Daam2,ENSMUST00000224595,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
Dmkn,ENSMUST00000041703,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Dnase1l3,ENSMUST00000026315,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Dscaml1,ENSMUST00000034592,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Egfem1,ENSMUST00000119598,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
Egr2,ENSMUST00000048289,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Enpp6,ENSMUST00000039840,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Epha7,ENSMUST00000080934,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Fam84b,ENSMUST00000100635,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Fbxl7,ENSMUST00000059204,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Fezf2,ENSMUST00000022262,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Flrt3,ENSMUST00000110057,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Flt1,ENSMUST00000031653,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Fndc7,ENSMUST00000102620,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Fst,ENSMUST00000022287,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Gfap,ENSMUST00000067444,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Glra1,ENSMUST00000102716,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Gpc6,ENSMUST00000125435,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Grin3a,ENSMUST00000076674,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Grm1,ENSMUST00000044306,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Grm8,ENSMUST00000115323,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Hpse,ENSMUST00000045617,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Igfbp4,ENSMUST00000017637,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Igfbp5,ENSMUST00000027377,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Ikzf2,ENSMUST00000027146,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Il1rapl2,ENSMUST00000113063,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Inpp4b,ENSMUST00000213285,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
Iqgap2,ENSMUST00000068603,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Itgb8,ENSMUST00000026360,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Kcng1,ENSMUST00000109191,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
Kcnj8,ENSMUST00000203945,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L3mbtl4,ENSMUST00000124543,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Lama3,ENSMUST00000188815,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Lhx6,ENSMUST00000112966,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
Ltf,ENSMUST00000035077,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Lypd1,ENSMUST00000159417,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Lyzl4,ENSMUST00000077706,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Meis2,ENSMUST00000110906,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mrgprx2,ENSMUST00000098433,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Muc20,ENSMUST00000115116,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Myh14,ENSMUST00000107899,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Ndst4,ENSMUST00000173932,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Nhs,ENSMUST00000087085,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
Nkain3,ENSMUST00000119374,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
Nos1,ENSMUST00000142742,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Npas1,ENSMUST00000210748,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Npnt,ENSMUST00000117811,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Npsr1,ENSMUST00000059650,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Nr2f2,ENSMUST00000032768,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Nr4a2,ENSMUST00000028166,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Ntng2,ENSMUST00000102873,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
Nxph4,ENSMUST00000095266,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Olah,ENSMUST00000027955,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Olfm3,ENSMUST00000051309,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Oprk1,ENSMUST00000160777,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Osr1,ENSMUST00000057021,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Pcdh8,ENSMUST00000195355,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Pdgfc,ENSMUST00000029652,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Pdgfra,ENSMUST00000000476,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
Phactr2,ENSMUST00000105545,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
Plcxd3,ENSMUST00000061925,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Pld5,ENSMUST00000065967,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Plekhg3,ENSMUST00000219063,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Pou3f3,ENSMUST00000054883,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Pou6f2,ENSMUST00000139064,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Prdm8,ENSMUST00000210477,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Prok2,ENSMUST00000101120,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Prr16,ENSMUST00000116639,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Prss12,ENSMUST00000029603,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Ptprm,ENSMUST00000037974,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Ptpru,ENSMUST00000105987,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Pxdc1,ENSMUST00000053459,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Ramp1,ENSMUST00000097648,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
Reln,ENSMUST00000161356,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Rerg,ENSMUST00000117919,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Rgs6,ENSMUST00000186458,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rnf152,ENSMUST00000172299,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
Ror1,ENSMUST00000039630,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
Rorb,ENSMUST00000112832,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Rxfp2,ENSMUST00000065745,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Satb2,ENSMUST00000177424,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Scgn,ENSMUST00000021770,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Sema3e,ENSMUST00000073957,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Slc17a6,ENSMUST00000032710,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Slc17a8,ENSMUST00000020102,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
Slc30a3,ENSMUST00000031037,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
Slc32a1,ENSMUST00000045738,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Slc44a5,ENSMUST00000089948,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Slco5a1,ENSMUST00000188454,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Sox10,ENSMUST00000040019,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Sox6,ENSMUST00000206034,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
Spon1,ENSMUST00000046687,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
St6galnac5,ENSMUST00000044278,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Sulf1,ENSMUST00000185780,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Sulf2,ENSMUST00000088086,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Syndig1,ENSMUST00000109935,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Syt10,ENSMUST00000029441,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Syt6,ENSMUST00000090697,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tbc1d4,ENSMUST00000100340,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Tcap,ENSMUST00000008021,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddm3,ENSMUST00000170665,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Tenm3,ENSMUST00000033965,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Thsd7a,ENSMUST00000172356,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Timp3,ENSMUST00000020234,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Tmem163,ENSMUST00000160616,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
Tnfaip6,ENSMUST00000065927,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Trp53i11,ENSMUST00000090554,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Trpc4,ENSMUST00000029311,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Trpc6,ENSMUST00000050433,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Tunar,ENSMUST00000180458,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Unc13c,ENSMUST00000184666,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Unc5b,ENSMUST00000077925,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Unc5d,ENSMUST00000168630,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Ust,ENSMUST00000061601,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vipr2,ENSMUST00000011315,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Vwc2,ENSMUST00000109681,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Wnt7b,ENSMUST00000023015,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Zfp804b,ENSMUST00000200317,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Blank-5,,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Blank-7,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
Blank-9,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Blank-10,,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
